epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,575.407,0.64204,0.06913,0.08582,0.39723,1.08016,0.88376,0.91975,0.96002,0.70954,0.88376,0.91975,0.96002,0.96002,1.02281,0.03639,0.00704,0.6593,1.58515,0.000423751,0.000423751,0.000423751
115,579.898,0.65705,0.07959,0.07144,0.40768,1.08206,0.89806,0.96234,0.97967,0.72613,0.89806,0.96234,0.97967,0.97967,0.99898,0.03889,0.0075,0.47522,1.55895,0.000412749,0.000412749,0.000412749
116,585.353,0.64381,0.06677,0.07364,0.39093,1.08768,0.90779,0.93549,0.96662,0.71442,0.90779,0.93549,0.96662,0.96662,0.97921,0.03995,0.00495,0.53891,1.52731,0.000401747,0.000401747,0.000401747
117,590.297,0.68557,0.07554,0.08837,0.44521,1.11153,0.93731,0.92971,0.96832,0.72655,0.93731,0.92971,0.96832,0.96832,0.98139,0.04212,0.00387,0.49091,1.53895,0.000390745,0.000390745,0.000390745
118,594.833,0.63032,0.06703,0.07868,0.39591,1.06065,0.92871,0.98649,0.98675,0.74326,0.92871,0.98649,0.98675,0.98675,0.97776,0.03729,0.00798,0.44188,1.54262,0.000379743,0.000379743,0.000379743
119,600.659,0.64458,0.07446,0.06699,0.39706,1.08752,0.87696,0.99017,0.98119,0.72058,0.87696,0.99017,0.98119,0.98119,0.98796,0.03918,0.01466,0.48199,1.52855,0.00036874,0.00036874,0.00036874
120,605.387,0.6196,0.06492,0.06454,0.41099,1.08067,0.82803,1,0.96812,0.7078,0.82803,1,0.96812,0.96812,1.00008,0.04073,0.0094,0.4977,1.53105,0.000357738,0.000357738,0.000357738
121,609.94,0.61106,0.08363,0.08647,0.39608,1.07621,0.85913,0.99196,0.96712,0.70266,0.85913,0.99196,0.96712,0.96712,0.98226,0.03948,0.0059,0.49899,1.49544,0.000346736,0.000346736,0.000346736
122,615.884,0.64941,0.06461,0.06895,0.40319,1.07687,0.87878,0.93218,0.96279,0.7082,0.87878,0.93218,0.96279,0.96279,0.99521,0.04241,0.00409,0.51269,1.48434,0.000335734,0.000335734,0.000335734
123,621.061,0.65384,0.07496,0.06796,0.39561,1.06016,0.8825,0.91817,0.94871,0.69095,0.8825,0.91817,0.94871,0.94871,1.0245,0.04303,0.00362,0.55988,1.53134,0.000324732,0.000324732,0.000324732
124,625.638,0.67008,0.07081,0.08516,0.41944,1.0975,0.86165,0.94416,0.93844,0.68154,0.86165,0.94416,0.93844,0.93844,1.00988,0.04098,0.00616,0.57033,1.50698,0.000313729,0.000313729,0.000313729
125,631.527,0.597,0.06316,0.0685,0.37719,1.05092,0.85873,0.94595,0.94624,0.69332,0.85873,0.94595,0.94624,0.94624,1.00891,0.04004,0.00926,0.55566,1.50585,0.000302727,0.000302727,0.000302727
126,636.049,0.6189,0.06587,0.06776,0.37891,1.06808,0.89239,0.94595,0.96717,0.71259,0.89239,0.94595,0.96717,0.96717,1.00825,0.04943,0.01138,0.52179,1.50939,0.000291725,0.000291725,0.000291725
127,640.947,0.63533,0.05882,0.08142,0.38323,1.09633,0.90813,0.97252,0.96883,0.70507,0.90813,0.97252,0.96883,0.96883,1.00947,0.0485,0.01329,0.50363,1.51226,0.000280723,0.000280723,0.000280723
128,646.341,0.62371,0.06642,0.08157,0.38288,1.09257,0.88199,0.9452,0.96846,0.711,0.88199,0.9452,0.96846,0.96846,1.02036,0.04407,0.01402,0.50186,1.51754,0.000269721,0.000269721,0.000269721
129,650.832,0.6269,0.05881,0.07947,0.3938,1.09354,0.88325,0.96587,0.96256,0.71573,0.88325,0.96587,0.96256,0.96256,1.00454,0.04108,0.0097,0.48646,1.51886,0.000258718,0.000258718,0.000258718
130,655.808,0.5917,0.06534,0.0787,0.38297,1.05851,0.94254,0.93149,0.96013,0.70547,0.94254,0.93149,0.96013,0.96013,1.02824,0.04093,0.00923,0.47351,1.56479,0.000247716,0.000247716,0.000247716
131,660.995,0.63589,0.07093,0.06522,0.3984,1.10332,0.89802,0.97996,0.95955,0.71043,0.89802,0.97996,0.95955,0.95955,1.02985,0.03745,0.00759,0.46858,1.57022,0.000236714,0.000236714,0.000236714
132,665.567,0.6397,0.06692,0.06961,0.37212,1.05337,0.92148,0.9799,0.96287,0.70288,0.92148,0.9799,0.96287,0.96287,1.04359,0.03704,0.00535,0.45088,1.57695,0.000225712,0.000225712,0.000225712
133,670.799,0.62344,0.06747,0.05517,0.40046,1.05301,0.89166,0.98297,0.9686,0.70319,0.89166,0.98297,0.9686,0.9686,1.07463,0.03861,0.00474,0.46512,1.6088,0.00021471,0.00021471,0.00021471
134,675.886,0.57213,0.05761,0.07529,0.35973,1.04625,0.85335,0.99131,0.97379,0.70308,0.85335,0.99131,0.97379,0.97379,1.07791,0.03875,0.00469,0.52384,1.61268,0.000203707,0.000203707,0.000203707
135,680.39,0.56371,0.06723,0.06458,0.36468,1.06072,0.86019,0.9916,0.97881,0.70567,0.86019,0.9916,0.97881,0.97881,1.06081,0.037,0.00437,0.54737,1.59163,0.000192705,0.000192705,0.000192705
136,685.828,0.572,0.06396,0.07217,0.34604,1.05896,0.88403,0.95871,0.97822,0.70719,0.88403,0.95871,0.97822,0.97822,1.05067,0.03535,0.00401,0.51714,1.59426,0.000181703,0.000181703,0.000181703
137,690.791,0.58589,0.05326,0.06924,0.35575,1.0552,0.92866,0.93093,0.97635,0.71738,0.92866,0.93093,0.97635,0.97635,1.03248,0.03493,0.00406,0.48411,1.57808,0.000170701,0.000170701,0.000170701
138,695.354,0.58945,0.0571,0.07104,0.36149,1.04255,0.94073,0.93093,0.97436,0.71708,0.94073,0.93093,0.97436,0.97436,1.0275,0.03817,0.00473,0.46435,1.57316,0.000159699,0.000159699,0.000159699
139,701.174,0.56522,0.06577,0.06988,0.35165,1.05295,0.91336,0.97624,0.97412,0.71474,0.91336,0.97624,0.97412,0.97412,1.02078,0.03651,0.00573,0.46157,1.55979,0.000148696,0.000148696,0.000148696
140,705.842,0.57732,0.05953,0.06782,0.3387,1.03711,0.92331,0.98225,0.97187,0.7072,0.92331,0.98225,0.97187,0.97187,1.03361,0.03415,0.00651,0.46713,1.56534,0.000137694,0.000137694,0.000137694
141,713.123,0.50878,0.04569,0.02253,0.28775,1.05388,0.89724,0.98222,0.96135,0.70102,0.89724,0.98222,0.96135,0.96135,1.04497,0.03292,0.00694,0.48712,1.57758,0.000126692,0.000126692,0.000126692
142,718.309,0.47048,0.03714,0.03087,0.26549,1.04964,0.89036,0.97297,0.95472,0.68563,0.89036,0.97297,0.95472,0.95472,1.04522,0.03289,0.00587,0.49355,1.5858,0.00011569,0.00011569,0.00011569
143,722.829,0.47867,0.03456,0.03294,0.2581,1.02541,0.89622,0.97297,0.95424,0.68276,0.89622,0.97297,0.95424,0.95424,1.03547,0.03452,0.00498,0.49379,1.5852,0.000104688,0.000104688,0.000104688
144,728.083,0.45509,0.03432,0.02929,0.24761,1.02082,0.88337,0.97853,0.95842,0.69124,0.88337,0.97853,0.95842,0.95842,1.0256,0.03474,0.00536,0.49607,1.58069,9.36854e-05,9.36854e-05,9.36854e-05
145,733.138,0.46129,0.03609,0.04816,0.24103,1.02997,0.88063,0.98649,0.96296,0.6976,0.88063,0.98649,0.96296,0.96296,1.0193,0.03499,0.00509,0.50702,1.58247,8.26832e-05,8.26832e-05,8.26832e-05
146,737.794,0.4697,0.03594,0.02183,0.25078,1.02248,0.87558,0.98649,0.96577,0.69774,0.87558,0.98649,0.96577,0.96577,1.02058,0.03614,0.00511,0.5,1.58763,7.1681e-05,7.1681e-05,7.1681e-05
147,743.105,0.45032,0.03526,0.03395,0.2395,1.0222,0.87439,0.98649,0.96714,0.70643,0.87439,0.98649,0.96714,0.96714,1.02248,0.03403,0.00538,0.48614,1.58884,6.06788e-05,6.06788e-05,6.06788e-05
148,747.994,0.4536,0.03313,0.01296,0.256,1.03219,0.87031,0.98649,0.96921,0.70284,0.87031,0.98649,0.96921,0.96921,1.02788,0.03294,0.00571,0.4894,1.59214,4.96766e-05,4.96766e-05,4.96766e-05
149,752.475,0.44458,0.03236,0.03792,0.23453,0.99739,0.85455,0.98649,0.97058,0.70547,0.85455,0.98649,0.97058,0.97058,1.03051,0.03309,0.00564,0.49519,1.59523,3.86744e-05,3.86744e-05,3.86744e-05
150,758.026,0.43766,0.03613,0.03904,0.23458,1.01184,0.92573,0.90315,0.97094,0.70373,0.92573,0.90315,0.97094,0.97094,1.03449,0.03286,0.00609,0.49577,1.60312,2.76722e-05,2.76722e-05,2.76722e-05
