epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,140.932,0.94142,0.15839,0.14916,0.71213,1.23652,0.8276,0.86083,0.89793,0.63452,0.8276,0.86083,0.89793,0.89152,1.06552,0.15262,0.04398,1.063,1.52793,0.00138094,0.00138094,0.00138094
28,146.471,0.96969,0.16796,0.1693,0.72204,1.23741,0.90948,0.89467,0.94956,0.65058,0.90948,0.89467,0.94956,0.94956,1.0863,0.09076,0.01303,0.70468,1.50045,0.00136994,0.00136994,0.00136994
29,150.961,0.99127,0.17458,0.15477,0.76652,1.2658,0.92106,0.86336,0.95167,0.66027,0.92106,0.86336,0.95167,0.94778,1.02948,0.15901,0.02249,0.71186,1.47555,0.00135894,0.00135894,0.00135894
30,156.006,0.97753,0.17778,0.14519,0.77873,1.25174,0.92914,0.9324,0.97796,0.68949,0.92914,0.9324,0.97796,0.97796,1.04007,0.12514,0.01161,0.63866,1.48619,0.00134794,0.00134794,0.00134794
31,161.232,0.93688,0.17676,0.15571,0.72776,1.23537,0.88958,0.94595,0.9565,0.67679,0.88958,0.94595,0.9565,0.9565,1.01934,0.08219,0.02521,0.63112,1.45849,0.00133693,0.00133693,0.00133693
32,165.736,0.89291,0.17015,0.16732,0.70264,1.20786,0.82977,0.95871,0.95093,0.59305,0.82977,0.95871,0.95093,0.95003,1.13706,0.10804,0.05819,0.77639,1.62817,0.00132593,0.00132593,0.00132593
33,170.993,0.95562,0.17661,0.14445,0.68172,1.23913,0.81871,0.91432,0.92882,0.63961,0.81871,0.91432,0.93299,0.92966,1.05877,0.10359,0.06843,0.89103,1.56574,0.00131493,0.00131493,0.00131493
34,176.11,0.90661,0.14804,0.16165,0.66121,1.22139,0.91157,0.88527,0.95736,0.67686,0.91157,0.88527,0.95736,0.95504,1.10686,0.07869,0.01702,0.82646,1.51538,0.00130393,0.00130393,0.00130393
35,180.578,0.88494,0.16112,0.15547,0.67926,1.21451,0.92914,0.89152,0.97061,0.653,0.92914,0.89152,0.97061,0.97061,1.12613,0.09531,0.01759,0.72148,1.60459,0.00129293,0.00129293,0.00129293
36,186.145,0.92057,0.13865,0.13035,0.67569,1.20435,0.87282,0.91137,0.96823,0.69529,0.87282,0.91137,0.96823,0.96823,1.06894,0.09785,0.01607,0.66095,1.59885,0.00128192,0.00128192,0.00128192
